County,,Population Health,,Equity,,Education,,Economy,,Housing,,Food & Nutrition,,Environment,,Public Safety,,Community Vitality,,Infrastructure
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Adams County,,72.7,,45.3,,31.5,,73,,36.1,,55.5,,68.9,,54.4,,45.8,,87.7
Alamosa County,,64.3,,49,,52.3,,38.9,,52.6,,69.3,,75.4,,69.2,,34.6,,72.6
Arapahoe County,,80.6,,39,,55.7,,78.4,,47,,61.5,,75.7,,64.6,,50.4,,90.6
Archuleta County,,88.1,,57.4,,14.4,,62.8,,44,,73.1,,91.9,,71.1,,76.9,,69.6
Baca County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Bent County,,50.2,,53.4,,36.1,,23.3,,36.5,,82.1,,79.1,,70.1,,30.2,,54
Boulder County,,96.1,,30.1,,70.8,,81.6,,51.6,,67.9,,83.2,,65.2,,58.3,,91.6
Broomfield County,,88.2,,54.3,,70.6,,96.2,,66,,55.9,,76,,68.2,,71.8,,95.4
Chaffee County,,82.4,,58.4,,38.1,,60.8,,56.3,,78.9,,97.1,,80.2,,86.1,,70.3
Cheyenne County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
,,,,,,,,,,,,,,,,,,,,
Clear Creek County,,83.1,,59.6,,45.8,,77.6,,56,,77.4,,95,,62.7,,76.9,,63.5
Conejos County,,57.1,,70.4,,28.5,,32.1,,50,,83.2,,82.1,,66.2,,53.2,,63.4
Costilla County,,46.5,,38.1,,36.7,,23.1,,35,,65.6,,84.7,,54.8,,59.3,,37.5
Crowley County,,51.8,,62.2,,14,,18.6,,40.9,,76.2,,71.5,,73.8,,33.9,,62.2
Custer County,,75,,55.6,,19.7,,43.1,,40.5,,87.7,,98.1,,51.8,,100,,46.7
Delta County,,72.1,,41.3,,23.5,,45.4,,39.8,,78.9,,80,,62.9,,61.7,,53.5
Denver County,,77.3,,21.3,,45,,75.3,,54.2,,69.5,,63.3,,45.8,,37.6,,81.3
Dolores County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Douglas County,,95.5,,63.7,,66.5,,87.4,,62,,60.4,,84.5,,72.7,,80.6,,93.2
Eagle County,,95.7,,39.5,,50.3,,78.7,,30.3,,75.5,,91.3,,84.4,,54.5,,85.2
,,,,,,,,,,,,,,,,,,,,
Elbert County,,80.6,,74.2,,39.6,,77.3,,67.9,,59.6,,74.3,,79.6,,88.4,,43.6
El Paso County,,76.2,,38.1,,51.7,,56.8,,42.1,,54.8,,87.7,,52.9,,53.4,,93.6
Fremont County,,64.9,,57.4,,34.2,,36.7,,47.3,,51.8,,81.4,,66.6,,58.6,,53.3
Garfield County,,78.1,,50.2,,47.8,,74.5,,43.5,,60.8,,75.7,,70,,48.8,,47.1
Gilpin County,,81.7,,81.1,,63,,71.4,,46.3,,58.7,,96.2,,61.8,,82.3,,29.2
Grand County,,88.9,,50.7,,33.3,,68.6,,42.2,,83.9,,78.4,,80.4,,51.9,,78.8
