County,,Population Health,,Equity,,Education,,Economy,,Housing,,Food & Nutrition,,Environment,,Public Safety,,Community Vitality,,Infrastructure
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Adams County,,64.9,,43.4,,18.5,,42.4,,41.8,,47.8,,59.1,,50.7,,27.9,,77.9
Asotin County,,72.3,,74.5,,31.8,,51.8,,47.6,,62.7,,63.2,,61.7,,55.2,,73.8
Benton County,,74.6,,42.7,,49.1,,68.2,,55.8,,55.4,,60.8,,66.8,,56,,72.8
Chelan County,,79.1,,40.6,,43.8,,57.1,,50.6,,64.7,,54.2,,66.2,,50.2,,76
Clallam County,,69.1,,49.3,,44.8,,42,,45.2,,57.1,,68,,58.3,,61.6,,59.5
Clark County,,76.8,,55.1,,52.3,,67,,47.4,,53,,64.4,,62.3,,54.3,,70.3
Columbia County,,71.7,,66.9,,44.5,,46.5,,56.5,,44,,53.9,,46.8,,65.1,,68
Cowlitz County,,62.8,,58.5,,37.3,,48,,41.9,,47.9,,55.7,,51.5,,47.1,,65.7
Douglas County,,66.3,,41.9,,42.5,,50.9,,44.2,,58.4,,49.5,,74.8,,43.8,,84.6
Ferry County,,63.7,,31.8,,19.3,,33.6,,28.5,,59.4,,69.5,,51.7,,57.6,,56.6
,,,,,,,,,,,,,,,,,,,,
Franklin County,,66.7,,45.5,,37.9,,55.4,,37.7,,50.6,,55.6,,66.6,,47.1,,79.4
Garfield County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Grant County,,60.8,,43,,30.1,,45.2,,45.5,,48.9,,55,,54.2,,38.5,,73.2
Grays Harbor County,,55.9,,55.1,,34.5,,42.7,,44.1,,46.6,,63.3,,65,,43.4,,61.4
Island County,,82.6,,59.5,,46.7,,47.1,,53.6,,77.6,,62.8,,72.5,,56.2,,60.3
Jefferson County,,83.3,,37,,42,,46,,47.1,,77.7,,66.1,,62.1,,81.9,,74.3
King County,,93.6,,25.8,,67,,83.3,,50.6,,72.8,,42,,59.5,,45.5,,73.8
Kitsap County,,80.2,,59.9,,54.6,,58.9,,50.4,,60.7,,53.4,,63.3,,49.3,,66.5
Kittitas County,,81.7,,53.4,,54.5,,56,,39,,61.5,,63,,60.3,,45.6,,72.8
Klickitat County,,74.4,,49.4,,32.9,,42.5,,38.4,,72,,54.8,,74,,60.7,,54.6
,,,,,,,,,,,,,,,,,,,,
Lewis County,,67.6,,52.7,,36.3,,42.7,,39.8,,64.9,,52.2,,60.4,,48.5,,52.7
Lincoln County,,75.8,,67.7,,44.9,,48.7,,65.1,,52.4,,55.3,,62.4,,71.6,,75.8
Mason County,,59.3,,43.3,,27.6,,43,,33.4,,59.8,,58.3,,57.4,,58.4,,56.6
Okanogan County,,56.6,,30.5,,32.9,,37.6,,33.1,,74.6,,39.8,,58,,45,,76.8
Pacific County,,60.1,,62.3,,27.9,,35,,47.4,,65.3,,71.8,,67.1,,71.7,,61.7
Pend Oreille County,,69.6,,67.9,,32.2,,41.9,,41.5,,55.7,,59.4,,48.3,,64.3,,48
Pierce County,,73.5,,49,,52.9,,58.8,,44.8,,55.4,,49.6,,54.1,,42.6,,57.5
San Juan County,,94,,56.7,,46.9,,61.4,,24.3,,100,,66.3,,79.7,,82.8,,70.3
Skagit County,,75.7,,45.2,,40.1,,63,,38,,64.2,,44.3,,59.4,,53.1,,64
Skamania County,,66.8,,84,,28.6,,54,,34.5,,65.7,,58.8,,73.2,,70.2,,39.9
,,,,,,,,,,,,,,,,,,,,
Snohomish County,,78.9,,50.9,,56.2,,78.3,,46.1,,62.3,,40.1,,64.6,,51.3,,66.7
Spokane County,,80.5,,53.7,,53,,51.5,,49.5,,51.9,,54.3,,46.1,,45.3,,87.2
Stevens County,,70.1,,60.6,,32.9,,45,,44.1,,54.3,,64.5,,57.8,,59.7,,59
Thurston County,,80.1,,55.2,,56.8,,64.8,,46.4,,59.5,,54.7,,62.7,,56.6,,81.6
Wahkiakum County,,71.6,,79.3,,25.5,,35.8,,36.6,,58.2,,59.2,,72,,84.6,,37.4
Walla Walla County,,79.7,,42.4,,49.7,,54.1,,48,,57.5,,52.5,,62.2,,44.2,,77.4
Whatcom County,,80.6,,45,,57.6,,64.7,,43.6,,55.6,,52.8,,66.5,,53,,70.9
Whitman County,,84.3,,51.6,,90.6,,48.3,,42.9,,45.7,,68.4,,66,,19.5,,74.7
Yakima County,,61.6,,31.7,,31.2,,42.5,,34.2,,56.2,,51.6,,53.6,,32.7,,73.8
