County,,Population Health,,Equity,,Education,,Economy,,Housing,,Food & Nutrition,,Environment,,Public Safety,,Community Vitality,,Infrastructure
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Beaverhead County,,81.7,,56.1,,34,,55.7,,48.1,,60.6,,76.3,,69.1,,63.6,,69.7
Big Horn County,,32.1,,43.4,,29.6,,30,,22.8,,49,,76.3,,16.6,,31.8,,63.2
Blaine County,,39.9,,36.5,,33.8,,27.3,,52.9,,49.3,,57.8,,59.4,,42.3,,56.7
Broadwater County,,78.7,,67.3,,11.6,,61.5,,78.7,,53.7,,79.2,,40.3,,78.9,,59.5
Carbon County,,74.9,,58.2,,20.2,,51.1,,61.8,,64.6,,78.8,,59.2,,77,,60.8
Carter County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Cascade County,,65.5,,63,,48.3,,53.7,,50.5,,53.6,,72.1,,56.4,,39.7,,75.6
Chouteau County,,64.5,,40.4,,36.8,,40.3,,84.5,,63.5,,70.7,,54.1,,64.8,,71.4
Custer County,,67.6,,67.6,,44.4,,58.3,,65.4,,48.6,,57.1,,72.3,,52.8,,80
Daniels County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
,,,,,,,,,,,,,,,,,,,,
Dawson County,,68.9,,53.7,,44.1,,51.5,,54.4,,61.7,,66.1,,67.1,,51.5,,85.4
Deer Lodge County,,63.2,,70.6,,28,,42.7,,37.7,,68.5,,81.4,,55.6,,56.1,,75.8
Fallon County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Fergus County,,76.9,,57.2,,41.5,,52.9,,47.7,,58.1,,70.6,,52.9,,61.5,,79.3
Flathead County,,76,,69.9,,45,,59.4,,48.8,,66.4,,64,,51.2,,66,,76
Gallatin County,,90.4,,56.5,,58.8,,76.3,,58.2,,66.6,,76.9,,66.4,,68.2,,78.1
Garfield County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Glacier County,,29,,28.4,,38.9,,23.6,,44.6,,46.8,,73.5,,42.5,,33.3,,49.3
Golden Valley County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Granite County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
,,,,,,,,,,,,,,,,,,,,
Hill County,,51.3,,46.4,,58.3,,48.7,,52.3,,39.2,,71.2,,46.1,,40.9,,80.5
Jefferson County,,75.4,,56.4,,53.2,,64.1,,61.8,,84.5,,75,,60.5,,86.1,,71
Judith Basin County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Lake County,,53.6,,53.1,,36,,46.9,,45.7,,65.3,,71.5,,35.7,,60.9,,60
Lewis and Clark County,,78.1,,60.9,,39.8,,65.7,,62.1,,61.2,,80.3,,57.2,,67.7,,77.8
Liberty County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
