County,,Population Health,,Equity,,Education,,Economy,,Housing,,Food & Nutrition,,Environment,,Public Safety,,Community Vitality,,Infrastructure
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Baker County,,76.6,,48.4,,28.9,,40.3,,42.2,,52.6,,63.2,,56.5,,65.5,,65
Benton County,,94.4,,44.4,,72.7,,64.4,,42.4,,61.4,,61.7,,64.2,,46,,90.2
Clackamas County,,81.1,,52.2,,53.9,,73.2,,46.4,,63.1,,40,,71.1,,59,,78.7
Clatsop County,,65.9,,69.4,,20.2,,53.4,,40.9,,59.8,,64.6,,57.5,,53.8,,72.9
Columbia County,,63.4,,83.1,,34.2,,56.3,,39.1,,55.4,,63.8,,71.5,,59.4,,41.5
Coos County,,58.6,,66.4,,24.8,,40,,31,,58.8,,64.1,,56.7,,51.4,,69.1
Crook County,,59.5,,71.1,,29,,45.8,,44.8,,60.1,,68.2,,54,,58.6,,65.4
Curry County,,67.8,,75.4,,20.3,,38.3,,30.1,,73.9,,65.7,,69.3,,65.2,,74.3
Deschutes County,,78.2,,52.4,,46,,70.4,,49.3,,56.6,,71.8,,63.5,,68.3,,89.1
Douglas County,,72.5,,71,,20.4,,46.4,,36.9,,52.9,,55.3,,54.4,,51,,68.7
,,,,,,,,,,,,,,,,,,,,
Gilliam County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Grant County,,76.4,,57.6,,29.3,,35.3,,31.1,,73,,61.7,,66.9,,63.9,,61.5
Harney County,,75.2,,62.5,,27,,32.3,,34.5,,56.1,,63.7,,41.4,,59.7,,53.3
Hood River County,,83.1,,53,,58.3,,63.5,,48.6,,79.6,,69,,73,,58,,73.7
Jackson County,,73.1,,46.8,,33,,55.9,,40.6,,55.5,,53.3,,54.8,,52.5,,85.2
Jefferson County,,53.1,,41.8,,31.4,,42.3,,38.2,,41,,60.3,,48.6,,47.8,,68.1
Josephine County,,64.2,,74.5,,28.6,,44.1,,31.2,,52.6,,51.9,,45.3,,53.6,,65.2
Klamath County,,55.3,,56.6,,36.4,,38.4,,31.9,,48.5,,68.8,,55,,43.5,,77.5
Lake County,,64.9,,70.6,,27.4,,37.2,,17.4,,64.8,,69.7,,63.3,,64.5,,56.6
Lane County,,74,,46.6,,43,,55.9,,39.9,,54.3,,41.7,,52.5,,45.6,,80.2
,,,,,,,,,,,,,,,,,,,,
Lincoln County,,60.8,,68,,19.1,,42.4,,29.2,,61.9,,69.8,,58.3,,56.8,,73.4
Linn County,,65.4,,66.4,,29.3,,53.2,,43.7,,49.6,,57.1,,63.1,,49.1,,80.9
Malheur County,,64.2,,38.4,,39.3,,31.4,,23.1,,59.2,,57.8,,64.2,,28.8,,51.9
Marion County,,68.1,,37.3,,35.3,,57.9,,38.2,,51.4,,57.1,,63.2,,40.1,,86.7
Morrow County,,72.5,,33.2,,41.4,,54.1,,24.4,,58.2,,58.6,,59.1,,40,,60
Multnomah County,,78.3,,38.4,,57.6,,69.9,,37.9,,63,,49.8,,49.4,,47.3,,71.2
Polk County,,73.3,,51.6,,42.8,,56.3,,39.9,,46.2,,56.7,,60.5,,55.7,,79.9
Sherman County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Tillamook County,,66.9,,51.7,,31.2,,46.6,,28,,67.9,,69.9,,68,,60.6,,69.9
Umatilla County,,60.6,,45.2,,39.4,,45.5,,33.5,,48.4,,53.4,,69.5,,36.7,,72.7
,,,,,,,,,,,,,,,,,,,,
Union County,,65.9,,68.2,,52.4,,48.3,,45.6,,51.4,,73.3,,62.8,,49.2,,66.5
Wallowa County,,87.6,,52.2,,53.8,,42.8,,27.6,,78.2,,68.3,,61.7,,71.2,,67.8
Wasco County,,68,,61.7,,32.1,,51.6,,43.9,,64.9,,65.1,,56.6,,50.9,,74.8
Washington County,,86.9,,40.2,,62.7,,79.1,,46.3,,61.7,,59.3,,74.3,,45.8,,89.7
Wheeler County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Yamhill County,,66.4,,42.4,,47.3,,61.2,,33.6,,61.4,,58.2,,70.1,,55.1,,70.2
