Estimates Geography File: Vintage 2016,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,
Internet Release Date: May 2017,,,,,,
,,,,,,
Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
040,53,000,00000,00000,00000,Washington
050,53,001,00000,00000,00000,Adams County
050,53,003,00000,00000,00000,Asotin County
050,53,005,00000,00000,00000,Benton County
050,53,007,00000,00000,00000,Chelan County
050,53,009,00000,00000,00000,Clallam County
050,53,011,00000,00000,00000,Clark County
050,53,013,00000,00000,00000,Columbia County
050,53,015,00000,00000,00000,Cowlitz County
050,53,017,00000,00000,00000,Douglas County
050,53,019,00000,00000,00000,Ferry County
050,53,021,00000,00000,00000,Franklin County
050,53,023,00000,00000,00000,Garfield County
050,53,025,00000,00000,00000,Grant County
050,53,027,00000,00000,00000,Grays Harbor County
050,53,029,00000,00000,00000,Island County
050,53,031,00000,00000,00000,Jefferson County
050,53,033,00000,00000,00000,King County
050,53,035,00000,00000,00000,Kitsap County
050,53,037,00000,00000,00000,Kittitas County
050,53,039,00000,00000,00000,Klickitat County
050,53,041,00000,00000,00000,Lewis County
050,53,043,00000,00000,00000,Lincoln County
050,53,045,00000,00000,00000,Mason County
050,53,047,00000,00000,00000,Okanogan County
050,53,049,00000,00000,00000,Pacific County
050,53,051,00000,00000,00000,Pend Oreille County
050,53,053,00000,00000,00000,Pierce County
050,53,055,00000,00000,00000,San Juan County
050,53,057,00000,00000,00000,Skagit County
050,53,059,00000,00000,00000,Skamania County
050,53,061,00000,00000,00000,Snohomish County
050,53,063,00000,00000,00000,Spokane County
050,53,065,00000,00000,00000,Stevens County
050,53,067,00000,00000,00000,Thurston County
050,53,069,00000,00000,00000,Wahkiakum County
050,53,071,00000,00000,00000,Walla Walla County
050,53,073,00000,00000,00000,Whatcom County
050,53,075,00000,00000,00000,Whitman County
050,53,077,00000,00000,00000,Yakima County
162,53,000,00000,00100,00000,Aberdeen city
162,53,000,00000,00905,00000,Airway Heights city
162,53,000,00000,01010,00000,Albion town
162,53,000,00000,01290,00000,Algona city
162,53,000,00000,01500,00000,Almira town
162,53,000,00000,01990,00000,Anacortes city
162,53,000,00000,02585,00000,Arlington city
162,53,000,00000,03075,00000,Asotin city
162,53,000,00000,03180,00000,Auburn city
162,53,000,00000,03736,00000,Bainbridge Island city
162,53,000,00000,04475,00000,Battle Ground city
162,53,000,00000,04895,00000,Beaux Arts Village town
162,53,000,00000,05210,00000,Bellevue city
162,53,000,00000,05280,00000,Bellingham city
162,53,000,00000,05560,00000,Benton City city
162,53,000,00000,06085,00000,Bingen city
162,53,000,00000,06330,00000,Black Diamond city
162,53,000,00000,06505,00000,Blaine city
162,53,000,00000,07170,00000,Bonney Lake city
162,53,000,00000,07380,00000,Bothell city
162,53,000,00000,07695,00000,Bremerton city
162,53,000,00000,07835,00000,Brewster city
162,53,000,00000,07870,00000,Bridgeport city
162,53,000,00000,07940,00000,Brier city
162,53,000,00000,08570,00000,Buckley city
162,53,000,00000,08605,00000,Bucoda town
162,53,000,00000,08850,00000,Burien city
162,53,000,00000,08920,00000,Burlington city
162,53,000,00000,09480,00000,Camas city
162,53,000,00000,09970,00000,Carbonado town
162,53,000,00000,10215,00000,Carnation city
162,53,000,00000,10495,00000,Cashmere city
162,53,000,00000,10565,00000,Castle Rock city
