Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
040,08,000,00000,00000,00000,Colorado
050,08,001,00000,00000,00000,Adams County
050,08,003,00000,00000,00000,Alamosa County
050,08,005,00000,00000,00000,Arapahoe County
050,08,007,00000,00000,00000,Archuleta County
050,08,009,00000,00000,00000,Baca County
050,08,011,00000,00000,00000,Bent County
050,08,013,00000,00000,00000,Boulder County
050,08,014,00000,00000,00000,Broomfield County
050,08,015,00000,00000,00000,Chaffee County
050,08,017,00000,00000,00000,Cheyenne County
050,08,019,00000,00000,00000,Clear Creek County
050,08,021,00000,00000,00000,Conejos County
050,08,023,00000,00000,00000,Costilla County
050,08,025,00000,00000,00000,Crowley County
050,08,027,00000,00000,00000,Custer County
050,08,029,00000,00000,00000,Delta County
050,08,031,00000,00000,00000,Denver County
050,08,033,00000,00000,00000,Dolores County
050,08,035,00000,00000,00000,Douglas County
050,08,037,00000,00000,00000,Eagle County
050,08,039,00000,00000,00000,Elbert County
050,08,041,00000,00000,00000,El Paso County
050,08,043,00000,00000,00000,Fremont County
050,08,045,00000,00000,00000,Garfield County
050,08,047,00000,00000,00000,Gilpin County
050,08,049,00000,00000,00000,Grand County
050,08,051,00000,00000,00000,Gunnison County
050,08,053,00000,00000,00000,Hinsdale County
050,08,055,00000,00000,00000,Huerfano County
050,08,057,00000,00000,00000,Jackson County
050,08,059,00000,00000,00000,Jefferson County
050,08,061,00000,00000,00000,Kiowa County
050,08,063,00000,00000,00000,Kit Carson County
050,08,065,00000,00000,00000,Lake County
050,08,067,00000,00000,00000,La Plata County
050,08,069,00000,00000,00000,Larimer County
050,08,071,00000,00000,00000,Las Animas County
050,08,073,00000,00000,00000,Lincoln County
050,08,075,00000,00000,00000,Logan County
050,08,077,00000,00000,00000,Mesa County
050,08,079,00000,00000,00000,Mineral County
050,08,081,00000,00000,00000,Moffat County
050,08,083,00000,00000,00000,Montezuma County
050,08,085,00000,00000,00000,Montrose County
050,08,087,00000,00000,00000,Morgan County
050,08,089,00000,00000,00000,Otero County
050,08,091,00000,00000,00000,Ouray County
050,08,093,00000,00000,00000,Park County
050,08,095,00000,00000,00000,Phillips County
050,08,097,00000,00000,00000,Pitkin County
050,08,099,00000,00000,00000,Prowers County
050,08,101,00000,00000,00000,Pueblo County
050,08,103,00000,00000,00000,Rio Blanco County
050,08,105,00000,00000,00000,Rio Grande County
050,08,107,00000,00000,00000,Routt County
050,08,109,00000,00000,00000,Saguache County
050,08,111,00000,00000,00000,San Juan County
050,08,113,00000,00000,00000,San Miguel County
050,08,115,00000,00000,00000,Sedgwick County
050,08,117,00000,00000,00000,Summit County
050,08,119,00000,00000,00000,Teller County
050,08,121,00000,00000,00000,Washington County
050,08,123,00000,00000,00000,Weld County
050,08,125,00000,00000,00000,Yuma County
162,08,000,00000,00760,00000,Aguilar town
162,08,000,00000,00925,00000,Akron town
162,08,000,00000,01090,00000,Alamosa city
162,08,000,00000,01530,00000,Alma town
162,08,000,00000,02355,00000,Antonito town
162,08,000,00000,03235,00000,Arriba town
162,08,000,00000,03455,00000,Arvada city
162,08,000,00000,03620,00000,Aspen city
162,08,000,00000,03950,00000,Ault town
162,08,000,00000,04000,00000,Aurora city
162,08,000,00000,04110,00000,Avon town
162,08,000,00000,04935,00000,Basalt town
162,08,000,00000,05265,00000,Bayfield town
162,08,000,00000,06090,00000,Bennett town
162,08,000,00000,06255,00000,Berthoud town
162,08,000,00000,06530,00000,Bethune town
162,08,000,00000,07025,00000,Black Hawk city
162,08,000,00000,07190,00000,Blanca town
162,08,000,00000,07410,00000,Blue River town
162,08,000,00000,07571,00000,Bonanza town
162,08,000,00000,07795,00000,Boone town
162,08,000,00000,07850,00000,Boulder city
162,08,000,00000,08070,00000,Bow Mar town
162,08,000,00000,08345,00000,Branson town
162,08,000,00000,08400,00000,Breckenridge town
162,08,000,00000,08675,00000,Brighton city
162,08,000,00000,09115,00000,Brookside town
162,08,000,00000,09280,00000,Broomfield city
162,08,000,00000,09555,00000,Brush city
162,08,000,00000,10105,00000,Buena Vista town
162,08,000,00000,10600,00000,Burlington city
162,08,000,00000,11260,00000,Calhan town
162,08,000,00000,11645,00000,Campo town
162,08,000,00000,11810,00000,Cañon City city
162,08,000,00000,12045,00000,Carbondale town
162,08,000,00000,12387,00000,Castle Pines city
162,08,000,00000,12415,00000,Castle Rock town
162,08,000,00000,12635,00000,Cedaredge town
162,08,000,00000,12815,00000,Centennial city
162,08,000,00000,12855,00000,Center town
162,08,000,00000,12910,00000,Central City city
162,08,000,00000,13460,00000,Cheraw town
162,08,000,00000,13845,00000,Cherry Hills Village city
162,08,000,00000,14175,00000,Cheyenne Wells town
162,08,000,00000,14765,00000,City of Creede town
